No,ErrorCode,Name,Action,Image,Name_En,Action_En,Name_Ch,Action_Ch,Name_Kr,Action_Kr
40,310019,STAGE1_PUMP_OVERLOAD_ERROR,"High pressure Pump Run Error 발생으로 I/O 및 Pump 상태 확인 필요
X0018 : VACUUM PUMP RUN CHECK
Y001D : HIGH PRESSURE PUMP RUN",,,,,,,"High pressure Pump Run Error 발생으로 I/O 및 Pump 상태 확인 필요
X0018 : VACUUM PUMP RUN CHECK
Y001D : HIGH PRESSURE PUMP RUN"
41,310020,STAGE1_PUMP_RUN_TIMEOUT,,,,,,,,
42,310021,STAGE1_ADD_PUMP_RUN_TIMEOUT,,,,,,,,
43,310022,STAGE1_HIGH_PUMP_ALARM_ERROR,,,,,,,,
44,310023,STAGE1_HIGH_PUMP_RUN_TIMEOUT,"Table air knife open 여부 확인 필요
Y03A : CHUCK TABLE AIR KNIFE OPEN (NORMAL CLOSE)",,,,,,,"Table air knife open 여부 확인 필요
Y03A : CHUCK TABLE AIR KNIFE OPEN (NORMAL CLOSE)"
45,310024,STAGE_1_WATER_ERROR,,,,,,,,
46,310025,STAGE_1_TABLE_WATER_NOT_ON_ERROR,,,,,,,,
47,310026,STAGE_1_TABLE_WATER_NOT_OFF_ERROR,,,,,,,,
48,310027,STAGE_1_EJECT_ON_CHECK_ERROR,,,,,,,,
49,310028,STAGE_1_EJECT_OFF_CHECK_ERROR,,,,,,,,
50,310029,STAGE_1_VAC_ON_CHECK_ERROR,,,,,,,,
51,310030,STAGE_1_VAC_OFF_CHECK_ERROR,"Pump Run Error 발생으로 I/O 및 Pump 상태 확인 필요
X0018 : VACUUM PUMP RUN CHECK
Y0018 : VACUUM PUMP RUN",,,,,,,"Pump Run Error 발생으로 I/O 및 Pump 상태 확인 필요
X0018 : VACUUM PUMP RUN CHECK
Y0018 : VACUUM PUMP RUN"
52,310031,STAGE_1_CLEAN_ERROR,,,,,,,,
53,310032,STAGE_1_TOPCLEAN_AIRKNIFE_NOT_ON_ERROR,,,,,,,,
54,310033,STAGE_1_TOPCLEAN_AIRKNIFE_NOT_OFF_ERROR,,,,,,,,
55,310034,STAGE_1_TOPCLEAN_WATER_NOT_ON_ERROR,,,,,,,,
56,310035,STAGE_1_TOPCLEAN_WATER_NOT_OFF_ERROR,,,,,,,,
57,310036,STAGE_1_TOPCLEAN_WATERKNIFE_NOT_ON_ERROR,,,,,,,,
58,310037,STAGE_1_TOPCLEAN_WATERKNIFE_NOT_OFF_ERROR,,,,,,,,
59,310038,STAGE_1_WHEEL_CLEAN_ERROR,,,,,,,,
60,310039,STAGE_1_WATER_NOT_ON_CHECK_ERROR,"Wheel Spindle collant Open Err 발생으로 I/O  상태 확인 필요
Y0013 : WHEEL COOLANT ON (NORMAL CLOSE)",,,,,,,"Wheel Spindle collant Open Err 발생으로 I/O  상태 확인 필요
Y0013 : WHEEL COOLANT ON (NORMAL CLOSE)"
61,310040,STAGE_1_WATER_NOT_OFF_CHECK_ERROR,"Dress Toolsetter air blow Open Err 발생으로 I/O  상태 확인 필요
Y0014 : DRESS TOOL SETTER AIR BLOW OPEN (NORMAL CLOSE)",,,,,,,"Dress Toolsetter air blow Open Err 발생으로 I/O  상태 확인 필요
Y0014 : DRESS TOOL SETTER AIR BLOW OPEN (NORMAL CLOSE)"
62,310041,STAGE_1_WHEELSPINDLE_COLLANT_NOT_OPEN_ERROR,"Table Front Nozzle Open Err 발생으로 I/O  상태 확인 필요
Y0040 : GRIND FRONT WORK CLEAN NOZZLE ON (INNER)",,,,,,,"Table Front Nozzle Open Err 발생으로 I/O  상태 확인 필요
Y0040 : GRIND FRONT WORK CLEAN NOZZLE ON (INNER)"
63,310042,STAGE_1_DTS_AIRBLOW_NOT_OPEN_ERROR,"Table Rear Nozzle Open Err 발생으로 I/O  상태 확인 필요
Y0041 : GRIND REAR WORK CLEAN NOZZLE ON (ADDITIONAL)",,,,,,,"Table Rear Nozzle Open Err 발생으로 I/O  상태 확인 필요
Y0041 : GRIND REAR WORK CLEAN NOZZLE ON (ADDITIONAL)"
64,310043,STAGE_1_FRONT_WATERNOZZLE_NOT_OPEN_ERROR,"Wheel Tip Nozzle Open Err 발생으로 I/O  상태 확인 필요
Y0042 : GRIND WHEEL TIP CLEAN NOZZLE ON (HIGH PRESSURE) RELAY",,,,,,,"Wheel Tip Nozzle Open Err 발생으로 I/O  상태 확인 필요
Y0042 : GRIND WHEEL TIP CLEAN NOZZLE ON (HIGH PRESSURE) RELAY"
65,310044,STAGE_1_REAR_WATERNOZZLE_NOT_OPEN_ERROR,,,,,,,,
66,310045,STAGE_1_WHEELTIP_CLEANNOZZLE_NOT_OPEN_ERROR,,,,,,,,
67,310046,STAGE_1_TABLE_CLEAN_ERROR,,,,,,,,
68,310047,STAGE_1_WAFER_CLEAN_TIMEOUT_ERROR,,,,,,,,
69,310048,STAGE_1_TABLE_CLEAN_TIMEOUT_ERROR,,,,,,,,
70,310049,STAGE_1_WAIT_POSITION_TIMEOUT_ERROR,,,,,,,,
71,310050,STAGE_1_GRIND_Z_AXIS_WORK_POSITION_CALCULATION_ERROR,"Step Grinding 모드 (Table/Dress/ Step_Mode) Grind Cycle Depth가 ""0"" 이하 일때 발생.",,,,,,,"Step Grinding 모드 (Table/Dress/ Step_Mode) Grind Cycle Depth가 ""0"" 이하 일때 발생."
72,310051,STAGE_1_GRIND_Z_START_POS_LOW_ERROR,,,,,,,,
73,310052,STAGE_1_GRIND_Z_END_POS_LOW_ERROR,Spindle Zaxis 작업 시작 위치가 Table 와 0.3 이하 차이가 없음,,,,,,,Spindle Zaxis 작업 시작 위치가 Table 와 0.3 이하 차이가 없음
74,310053,STAGE_1_WHEEL_THICKNESS_ERROR,Spindle Zaxis 작업 종료 위치가 Table 와 0.3 이하 차이가 없음,,,,,,,Spindle Zaxis 작업 종료 위치가 Table 와 0.3 이하 차이가 없음
75,310054,STAGE_1_WHEEL_THICKNESS_LIMIT_OVER_ERROR,"Wheel tip 의 두께가 Wheel para 에 설정값이하일때 발생.
 - Wheel 교체 필요.",,,,,,,"Wheel tip 의 두께가 Wheel para 에 설정값이하일때 발생.
 - Wheel 교체 필요."
76,310055,STAGE_1_WHEEL_NEED_TO_CHANGE_ERROR,"Wheel tip 의 두께가 ""0.5[mm]"" 이하 일때 Error 발생
 - Wheel 교체 필요.",,,,,,,"Wheel tip 의 두께가 ""0.5[mm]"" 이하 일때 Error 발생
 - Wheel 교체 필요."
77,310056,STAGE_1_DRESS_THICKNESS_ERROR,,,,,,,,
78,310057,STAGE_1_DRESSER_THICKNESS_LIMIT_OVER_ERROR,"Dress 의 두께가 Wheel para 에 설정값이하일때 발생.
 - Dress 교체 필요.",,,,,,,"Dress 의 두께가 Wheel para 에 설정값이하일때 발생.
 - Dress 교체 필요."
79,310058,STAGE_1_DRESSER_NEED_TO_CHANGE_ERROR,"Dress 의 두께가 Dressing 양보다 적을때 발생
 - Dress 교체 필요.",,,,,,,"Dress 의 두께가 Dressing 양보다 적을때 발생
 - Dress 교체 필요."
80,310059,STAGE_1_WHEEL_WAFER_NOT_CONTACT_ERROR,"Grinding 진행 후 Wafer 의 두께 변화가 없음. 
 - Spindle Wheel 이 Wafer 에 Grinding 가 되지 않았음.",,,,,,,"Grinding 진행 후 Wafer 의 두께 변화가 없음. 
 - Spindle Wheel 이 Wafer 에 Grinding 가 되지 않았음."
81,310060,STAGE_1_RECIPE_ERROR,,,,,,,,
82,310061,STAGE_1_TABLE_RECIPE_GRINDING_LIMIT_OVER_ERROR,"Table Grind Total Amount 설정 값이 WTS Gap 의 값보다 클때 발생. 
 - WTS 의 높이 조절 또는 Total Amount 조정 필요.",,,,,,,"Table Grind Total Amount 설정 값이 WTS Gap 의 값보다 클때 발생. 
 - WTS 의 높이 조절 또는 Total Amount 조정 필요."
83,310062,STAGE_1_TABLE_RECIPE_WTS_GAP_SET_LIMIT_ERROR, -Table 와 WTS 의 Recipe 설정 높이차이 확인 (BaseSetup 입력 오류),,,,,,, -Table 와 WTS 의 Recipe 설정 높이차이 확인 (BaseSetup 입력 오류)
84,310063,STAGE_1_TABLE_RECIPE_DTS_GAP_SET_LIMIT_ERROR, - Table 와 DTS 의 Recipe 설정 높이차이 확인 (BaseSetup 입력 오류),,,,,,, - Table 와 DTS 의 Recipe 설정 높이차이 확인 (BaseSetup 입력 오류)
85,310064,STAGE_1_DRESS_RECIPE_GRINDING_LIMIT_OVER_ERROR," - Dress Grinding Recipe 설정 Amount 확인 값이 ""0.8"" 이하 차이 일때 발생",,,,,,," - Dress Grinding Recipe 설정 Amount 확인 값이 ""0.8"" 이하 차이 일때 발생"
86,310065,STAGE_1_WAFER_TOPDOWN_RECIPE_GRINDING_LIMIT_OVER_ERROR,,,,,,,,
87,310066,STAGE_1_WAFER_TOPDOWN_TOTAL_RECIPE_GRINDING_LIMIT_OVER_ERROR,"TopDown mode 에서 Grinding 진행시 Total Amount 양이 ""0""  이하시 발생으로 재설정 필요",,,,,,,"TopDown mode 에서 Grinding 진행시 Total Amount 양이 ""0""  이하시 발생으로 재설정 필요"
88,310067,STAGE_1_WAFER_TARGET_TOTAL_RECIPE_GRINDING_LIMIT_OVER_ERROR,"Target mode 에서 Grinding 진행시 Target Amount 양이 ""0.2[mm]""  이하시 발생으로 재설정 필요",,,,,,,"Target mode 에서 Grinding 진행시 Target Amount 양이 ""0.2[mm]""  이하시 발생으로 재설정 필요"
89,310068,STAGE_1_WAFER_TARGET_GRINDING_LIMIT_OVER_ERROR,"Grinding 진행시 자재 두께가 ""0.2[mm]""  이하시 발생으로 측정값 재확인 필요",,,,,,,"Grinding 진행시 자재 두께가 ""0.2[mm]""  이하시 발생으로 측정값 재확인 필요"
90,310069,STAGE_1_WHEEL_DIAMETER_INFORMATION_ABNORMAL_ERROR,,,,,,,,
91,310070,STAGE_1_DRESSING_WHEEL_LOSS_LOW_ERROR,"Dressing 후에 Dress Loss amount 가 설정 최소값보다 작을때 발생으로
정상 Dress 여부 확인 필요",,,,,,,"Dressing 후에 Dress Loss amount 가 설정 최소값보다 작을때 발생으로
정상 Dress 여부 확인 필요"
92,310071,STAGE_1_DRESSING_LOSS_LIMIT_OVER_ERROR,,,,,,,,
93,310072,STAGE_1_IPG_ERROR,,,,,,,,
94,310073,STAGE_1_IPG_WATER_NOT_ON_ERROR,"IPG Collant open 여부 확인 필요
Y012 : IPG COOLANT ON (NORMAL CLOSE)",,,,,,,"IPG Collant open 여부 확인 필요
Y012 : IPG COOLANT ON (NORMAL CLOSE)"
95,310074,STAGE_1_IPG_WATER_NOT_OFF_ERROR,"IPG Collant open 여부 확인 필요
Y012 : IPG COOLANT ON (NORMAL CLOSE)",,,,,,,"IPG Collant open 여부 확인 필요
Y012 : IPG COOLANT ON (NORMAL CLOSE)"
96,310075,STAGE_1_IPG_UP_ERROR,"IPG Up/Down 출력 및 센서 상태 확인 필요
 - X0012 : IPG UP PRESSURE CHECK
 - Y0010 : IPG DOWN (NORMAL UP)",,,,,,,"IPG Up/Down 출력 및 센서 상태 확인 필요
 - X0012 : IPG UP PRESSURE CHECK
 - Y0010 : IPG DOWN (NORMAL UP)"
97,310076,STAGE_1_IPG_NOT_UP_ERROR,"IPG Up/Down 출력 및 센서 상태 확인 필요
 - X0012 : IPG UP PRESSURE CHECK
 - Y0010 : IPG DOWN (NORMAL UP)",,,,,,,"IPG Up/Down 출력 및 센서 상태 확인 필요
 - X0012 : IPG UP PRESSURE CHECK
 - Y0010 : IPG DOWN (NORMAL UP)"
98,310077,STAGE_1_IPG_NOT_DOWN_ERROR,"IPG Up/Down 출력 및 센서 상태 확인 필요
 - X0012 : IPG UP PRESSURE CHECK
 - Y0010 : IPG DOWN (NORMAL UP)",,,,,,,"IPG Up/Down 출력 및 센서 상태 확인 필요
 - X0012 : IPG UP PRESSURE CHECK
 - Y0010 : IPG DOWN (NORMAL UP)"
99,310078,STAGE_1_IPG_DOWN_ERROR,"IPG Up/Down 출력 및 센서 상태 확인 필요
 - X0012 : IPG UP PRESSURE CHECK
 - Y0010 : IPG DOWN (NORMAL UP)",,,,,,,"IPG Up/Down 출력 및 센서 상태 확인 필요
 - X0012 : IPG UP PRESSURE CHECK
 - Y0010 : IPG DOWN (NORMAL UP)"
100,310079,STAGE_1_IPG_ALARM_ERROR,"IPG Alarm 발생으로 입력 및 D-Module 상태 확인 필요
 - X0010 : IPG UNIT ALARM (NC)",,,,,,,"IPG Alarm 발생으로 입력 및 D-Module 상태 확인 필요
 - X0010 : IPG UNIT ALARM (NC)"
101,310080,STAGE_1_IPG_IBM_UPDOWN_VALUE_INVALID_ERROR,"IPG Master 가 Base 에서 Zero 설정을 위해 측정시 이상 값 발생
 - Up/Down 정상 및 IPG 측정 값 확인 ",,,,,,,"IPG Master 가 Base 에서 Zero 설정을 위해 측정시 이상 값 발생
 - Up/Down 정상 및 IPG 측정 값 확인 "
102,310081,STAGE_1_IPG_IBM_UP_VALUE_INVALID_ERROR,"IPG Master 가 Base 에서 Zero 설정을 위해 측정시 이상 값 발생
 - Up/Down 정상 및 IPG 측정 값 확인 ",,,,,,,"IPG Master 가 Base 에서 Zero 설정을 위해 측정시 이상 값 발생
 - Up/Down 정상 및 IPG 측정 값 확인 "
103,310082,STAGE_1_IPG_IBM_DOWN_VALUE_INVALID_ERROR,"IPG Master 가 Base 에서 Zero 설정을 위해 측정시 이상 값 발생
 - Up/Down 정상 및 IPG 측정 값 확인 ",,,,,,,"IPG Master 가 Base 에서 Zero 설정을 위해 측정시 이상 값 발생
 - Up/Down 정상 및 IPG 측정 값 확인 "
104,310083,STAGE_1_IPG_IBO_UPDOWN_VALUE_INVALID_ERROR,"IPG Object 가 Base 에서 Zero 설정을 위해 측정시 이상 값 발생
 - Up/Down 정상 및 IPG 측정 값 확인 ",,,,,,,"IPG Object 가 Base 에서 Zero 설정을 위해 측정시 이상 값 발생
 - Up/Down 정상 및 IPG 측정 값 확인 "
105,310084,STAGE_1_IPG_IBO_UP_VALUE_INVALID_ERROR,"IPG Object 가 Base 에서 Zero 설정을 위해 측정시 이상 값 발생
 - Up/Down 정상 및 IPG 측정 값 확인 ",,,,,,,"IPG Object 가 Base 에서 Zero 설정을 위해 측정시 이상 값 발생
 - Up/Down 정상 및 IPG 측정 값 확인 "
106,310085,STAGE_1_IPG_IBO_DOWN_VALUE_INVALID_ERROR,"IPG Object 가 Base 에서 Zero 설정을 위해 측정시 이상 값 발생
 - Up/Down 정상 및 IPG 측정 값 확인 ",,,,,,,"IPG Object 가 Base 에서 Zero 설정을 위해 측정시 이상 값 발생
 - Up/Down 정상 및 IPG 측정 값 확인 "
107,310086,STAGE_1_IPG_IBM_TABLE_THICK_LOW_MEASURE_ERROR,"Table Measure 중 IPG Master 가 Table 에서 측정시 이상 값 발생 Base Setup 에서 설정한 값과 차이사 발생시 Errror 발생
 - Base setup 설정값 확인 및 IPG 측정값 확인 필요.",,,,,,,"Table Measure 중 IPG Master 가 Table 에서 측정시 이상 값 발생 Base Setup 에서 설정한 값과 차이사 발생시 Errror 발생
 - Base setup 설정값 확인 및 IPG 측정값 확인 필요."
108,310087,STAGE_1_IPG_IBO_TABLE_THICK_LOW_MEASURE_ERROR,"Table Measure 중 IPG Object 가 Table 에서 측정시 이상 값 발생 Base Setup 에서 설정한 값과 차이사 발생시 Errror 발생
 - Base setup 설정값 확인 및 IPG 측정값 확인 필요.",,,,,,,"Table Measure 중 IPG Object 가 Table 에서 측정시 이상 값 발생 Base Setup 에서 설정한 값과 차이사 발생시 Errror 발생
 - Base setup 설정값 확인 및 IPG 측정값 확인 필요."
109,310088,STAGE_1_FLOWMETER_ERROR,,,,,,,,
110,310089,STAGE_1_WHEEL_SPINDLE_CDA_AIR_01_NOT_ON_ERROR,"Wheel CDA Air 이 Open 되지 않아 발생으로 입/출력 확인 필요
 - X0028 : MAIN CDA(1 2) ON CHECK (GAUGE,TABLE/IPG)",,,,,,,"Wheel CDA Air 이 Open 되지 않아 발생으로 입/출력 확인 필요
 - X0028 : MAIN CDA(1 2) ON CHECK (GAUGE,TABLE/IPG)"
111,310090,STAGE_1_WHEEL_SPINDLE_CDA_AIR_02_NOT_ON_ERROR,"Wheel CDA Air 이 Open 되지 않아 발생으로 입/출력 확인 필요
 - X0029 : MAIN CDA(1 2) ON CHECK (GAUGE,TABLE/IPG)",,,,,,,"Wheel CDA Air 이 Open 되지 않아 발생으로 입/출력 확인 필요
 - X0029 : MAIN CDA(1 2) ON CHECK (GAUGE,TABLE/IPG)"
112,310091,STAGE_1_WHEEL_SPINDLE_CDA_AIR_03_NOT_ON_ERROR,"Wheel CDA Air 이 Open 되지 않아 발생으로 입/출력 확인 필요
 - X0028 : MAIN CDA(1 2) ON CHECK (GAUGE,TABLE/IPG)
 - X0029 : MAIN CDA(1 2) ON CHECK (GAUGE,TABLE/IPG)",,,,,,,"Wheel CDA Air 이 Open 되지 않아 발생으로 입/출력 확인 필요
 - X0028 : MAIN CDA(1 2) ON CHECK (GAUGE,TABLE/IPG)
 - X0029 : MAIN CDA(1 2) ON CHECK (GAUGE,TABLE/IPG)"
113,310092,STAGE_1_WHEEL_SPINDLE_CDA_AIR_01_FLOW_NOT_ON_ERROR,"Wheel CDA Air 이 Open 되지 않아 발생으로 입/출력 확인 필요
 - Flow meter 확인 필요",,,,,,,"Wheel CDA Air 이 Open 되지 않아 발생으로 입/출력 확인 필요
 - Flow meter 확인 필요"
114,310093,STAGE_1_WHEEL_SPINDLE_CDA_AIR_02_FLOW_NOT_ON_ERROR,"Wheel CDA Air 이 Open 되지 않아 발생으로 입/출력 확인 필요
 - Flow meter 확인 필요",,,,,,,"Wheel CDA Air 이 Open 되지 않아 발생으로 입/출력 확인 필요
 - Flow meter 확인 필요"
115,310094,STAGE_1_WHEEL_SPINDLE_CDA_AIR_03_FLOW_NOT_ON_ERROR,"Wheel CDA Air 이 Open 되지 않아 발생으로 입/출력 확인 필요
 - Flow meter 확인 필요",,,,,,,"Wheel CDA Air 이 Open 되지 않아 발생으로 입/출력 확인 필요
 - Flow meter 확인 필요"
116,310095,STAGE_1_CDA_NOT_OPEN_ERROR,"CDA Air 이 Open/Close 가 비정상임
 - X0028 : MAIN CDA(1 2) ON CHECK (GAUGE,TABLE/IPG)
 - Y0028 : CDA 1_2 SELECT (GAUGE, TABLE/IPG)",,,,,,,"CDA Air 이 Open/Close 가 비정상임
 - X0028 : MAIN CDA(1 2) ON CHECK (GAUGE,TABLE/IPG)
 - Y0028 : CDA 1_2 SELECT (GAUGE, TABLE/IPG)"
117,310096,STAGE_1_CDA_NOT_CLOSE_ERROR,"CDA Air 이 Open/Close 가 비정상임
 - X0028 : MAIN CDA(1 2) ON CHECK (GAUGE,TABLE/IPG)
 - Y0028 : CDA 1_2 SELECT (GAUGE, TABLE/IPG)",,,,,,,"CDA Air 이 Open/Close 가 비정상임
 - X0028 : MAIN CDA(1 2) ON CHECK (GAUGE,TABLE/IPG)
 - Y0028 : CDA 1_2 SELECT (GAUGE, TABLE/IPG)"
118,310097,STAGE_1_CDA1_FLOW_NOT_OPEN_ERROR,"CDA Air 이 Open/Close 가 비정상임
 - Flow meter 확인 필요",,,,,,,"CDA Air 이 Open/Close 가 비정상임
 - Flow meter 확인 필요"
119,310098,STAGE_1_CDA2_FLOW_NOT_OPEN_ERROR,"CDA Air 이 Open/Close 가 비정상임
 - Flow meter 확인 필요",,,,,,,"CDA Air 이 Open/Close 가 비정상임
 - Flow meter 확인 필요"
